date;permco;ret;vol
2001-11-20;7.0;-0.02349996566772461;4967086.0
2001-11-21;7.0;0.007680471520870924;3618975.0
2001-11-23;7.0;0.008130073547363281;1078957.0
2001-11-26;7.0;0.0771169662475586;8266953.0
2001-11-27;7.0;-0.01731402985751629;4829959.0
2001-11-28;7.0;-0.02238092012703419;4529071.0
2001-11-29;7.0;-0.005358042195439339;3681917.0
2001-11-30;7.0;0.04309496283531189;5468083.0
2001-12-03;7.0;-0.01173708960413933;3287596.0
2001-12-04;7.0;0.06413304060697556;6837680.0
2001-12-05;7.0;0.06071431562304497;10306051.0
2001-12-06;7.0;-0.04124577343463898;6090338.0
2001-12-07;7.0;-0.01053554750978947;3736130.0
2001-12-10;7.0;0.0;3068363.0
2001-12-11;7.0;-0.03371784463524818;3705552.0
2001-12-12;7.0;-0.01331500988453627;3469326.0
2001-12-13;7.0;-0.02280129306018353;3731957.0
2001-12-14;7.0;-0.02904764749109745;3421583.0
2001-12-17;7.0;0.01128011103719473;3153870.0
2001-12-18;7.0;0.01891364529728889;4253949.0
2001-12-19;7.0;0.02903382293879986;5215426.0
2001-12-20;7.0;-0.04394083097577095;4027026.0
2001-12-21;7.0;0.01596516370773315;5026405.0
2001-12-24;7.0;0.01714288629591465;911131.0
2001-12-26;7.0;0.006086102686822414;2644130.0
2001-12-27;7.0;0.0269892942160368;3462734.0
2001-12-28;7.0;0.0163117628544569;5398755.0
2001-12-31;7.0;-0.02362909913063049;2495721.0
2002-01-02;7.0;0.06392692774534225;9568068.0
2002-01-03;7.0;0.0120171969756484;10991020.0
2002-01-04;7.0;0.004664996173232794;7386936.0
2002-01-07;7.0;-0.03334744274616241;8042801.0
2002-01-08;7.0;-0.0126637127250433;8094259.0
2002-01-09;7.0;-0.04245913028717041;5901834.0
2002-01-10;7.0;-0.01939954236149788;8146018.0
2002-01-11;7.0;-0.008478582836687565;6296221.0
2002-01-14;7.0;0.004750612191855907;7464957.0
2002-01-15;7.0;0.02600478194653988;5223919.0
2002-01-16;7.0;-0.04239631444215775;10241845.0
2002-01-17;7.0;0.08180937170982361;11928708.0
2002-01-18;7.0;-0.0137900123372674;6100273.0
2002-01-22;7.0;-0.01578711718320847;5960083.0
2002-01-23;7.0;0.05499545112252235;7982397.0
2002-01-24;7.0;0.008253633044660091;6188694.0
2002-01-25;7.0;0.001723434659652412;3364482.0
2002-01-28;7.0;0.000860234722495079;3418662.0
2002-01-29;7.0;-0.008594789542257786;4404548.0
2002-01-30;7.0;0.04421328380703926;8475066.0
2002-01-31;7.0;0.02615189552307129;8511258.0
2002-02-01;7.0;-0.0125404316931963;7231484.0
2002-02-04;7.0;0.0385088287293911;9437043.0
2002-02-05;7.0;0.003944788128137589;8224642.0
2002-02-06;7.0;-0.03064835630357265;10882368.0
2002-02-07;7.0;-0.01499800756573677;6401533.0
2002-02-08;7.0;-0.01111105177551508;6446501.0
2002-02-11;7.0;0.03953386843204498;7154026.0
2002-02-12;7.0;-0.01080866530537605;4051099.0
2002-02-13;7.0;0.01214088033884764;5613381.0
2002-02-14;7.0;-0.01639343611896038;4680544.0
